graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
119,32,9,23,21,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.7777777777777777,1,5,1,8
120,32,10,22,18,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.3,1,5,5,5
121,32,9,23,18,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,1.8888888888888888,1,5,5,4
122,32,10,22,16,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.8,1,5,7,3
123,32,10,22,13,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.8,1,4,5,5
124,32,9,24,19,0.5625,3,0.018145161290322582,0,-1,3,0.07291666666666667,8,4,2.3333333333333335,1,5,4,5
125,32,9,23,18,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,1.6666666666666667,1,5,6,3
126,32,10,22,18,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.1,1,5,4,6
127,32,8,24,21,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,2.5,1,5,2,6
128,32,9,23,14,0.5625,1,0.018145161290322582,1,-1,2,0.0,8,2,1.4444444444444444,1,2,5,4
129,32,7,25,22,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,4,1.5714285714285714,1,3,5,2
130,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,1.5555555555555556,1,3,6,3
131,32,9,23,19,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,1.5555555555555556,1,2,4,5
132,32,10,23,21,0.625,3,0.020161290322580645,0,-1,2,0.0,8,4,2.4,1,4,2,8
133,32,10,22,19,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.6,1,5,1,9
134,32,8,24,21,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.875,1,3,4,4
135,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.5555555555555554,1,5,3,6
136,32,10,22,17,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.4,1,3,7,3
137,32,4,28,27,0.25,3,0.008064516129032258,1,-1,2,0.0,8,4,2.75,1,5,1,3
138,32,7,25,21,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,4,2.5714285714285716,1,5,1,6
139,32,8,24,21,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,1.5,1,3,5,3
140,32,10,22,17,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.6,1,3,7,3
141,32,10,23,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.2,1,5,4,6
142,32,10,23,19,0.625,2,0.020161290322580645,0,-1,2,0.0,8,3,1.8,1,4,5,5
143,32,10,22,15,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.2,1,4,4,6
144,32,7,26,22,0.4375,2,0.014112903225806451,0,-1,3,0.09375,8,3,1.8571428571428572,1,3,2,5
145,32,10,22,17,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.5,1,3,6,4
